"Source Name",Domain,Text,"Program Name","Date Accessed","Data Source"
History,google.com,"internet explorer 11","Google Chrome","2015-03-22 08:10:52 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"data leakage methods","Google Chrome","2015-03-23 11:02:09 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"leaking confidential information","Google Chrome","2015-03-23 11:02:44 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:03:40 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:05:18 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:05:19 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:05:22 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:05:48 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:06:27 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:14:50 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:15:44 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:16:55 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:17:14 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:18:10 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:18:15 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:18:30 PDT","cfreds_2015_data_leakage_pc.E01"
History,google.com,"information leakage cases","Google Chrome","2015-03-23 11:18:43 PDT","cfreds_2015_data_leakage_pc.E01"
